,Event,Node,Target,Time
1392,Role,118, ROLE_NONE,574
1393,Connect,36,118,574
1394,Role,36, ROLE_AMBASSADOR,575
1395,Connect,36,121,575
1396,Role,128, ROLE_AMBASSADOR,576
1397,Connect,36,128,576
1398,Role,37, ROLE_AMBASSADOR,577
1399,Role,1, ROLE_AMBASSADOR,577
1400,Connect,37,1,577
1401,Role,37, ROLE_NONE,578
1402,Role,3, ROLE_NONE,578
1403,Connect,37,3,578
1404,Role,9, ROLE_NONE,579
1405,Connect,37,9,579
1406,Role,37, ROLE_AMBASSADOR,580
1407,Role,22, ROLE_AMBASSADOR,580
1408,Connect,37,22,580
1409,Role,37, ROLE_NONE,581
1410,Connect,37,27,581
1411,Connect,37,31,582
1412,Role,36, ROLE_NONE,583
1413,Connect,37,36,583
1414,Role,37, ROLE_AMBASSADOR,584
1415,Role,38, ROLE_AMBASSADOR,584
1416,Connect,37,38,584
1417,Role,37, ROLE_NONE,585
1418,Connect,37,40,585
1419,Role,47, ROLE_NONE,586
1420,Connect,37,47,586
1421,Role,37, ROLE_AMBASSADOR,587
1422,Connect,37,63,587
1423,Connect,37,84,588
1424,Role,88, ROLE_AMBASSADOR,589
1425,Connect,37,88,589
1426,Role,97, ROLE_AMBASSADOR,590
1427,Connect,37,97,590
1428,Role,118, ROLE_AMBASSADOR,591
1429,Connect,37,118,591
1430,Role,126, ROLE_AMBASSADOR,592
1431,Connect,37,126,592
1432,Connect,38,1,593
1433,Role,3, ROLE_AMBASSADOR,594
1434,Connect,38,3,594
1435,Role,8, ROLE_AMBASSADOR,595
1436,Connect,38,8,595
1437,Role,13, ROLE_AMBASSADOR,596
1438,Connect,38,13,596
1439,Role,38, ROLE_NONE,597
1440,Role,37, ROLE_NONE,597
1441,Connect,38,37,597
1442,Role,38, ROLE_AMBASSADOR,598
1443,Role,40, ROLE_AMBASSADOR,598
1444,Connect,38,40,598
1445,Connect,38,43,599
1446,Role,38, ROLE_NONE,600
1447,Connect,38,47,600
1448,Role,63, ROLE_NONE,601
1449,Connect,38,63,601
1450,Role,38, ROLE_AMBASSADOR,602
1451,Role,66, ROLE_AMBASSADOR,602
1452,Connect,38,66,602
1453,Connect,38,71,603
1454,Role,94, ROLE_AMBASSADOR,604
1455,Connect,38,94,604
1456,Role,38, ROLE_NONE,605
1457,Role,97, ROLE_NONE,605
1458,Connect,38,97,605
1459,Role,38, ROLE_AMBASSADOR,606
1460,Connect,38,117,606
1461,Role,38, ROLE_NONE,607
1462,Role,118, ROLE_NONE,607
1463,Connect,38,118,607
1464,Role,38, ROLE_AMBASSADOR,608
1465,Connect,38,121,608
1466,Role,39, ROLE_AMBASSADOR,609
1467,Role,5, ROLE_AMBASSADOR,609
1468,Connect,39,5,609
1469,Role,10, ROLE_AMBASSADOR,610
1470,Connect,39,10,610
1471,Connect,39,15,611
1472,Role,20, ROLE_AMBASSADOR,612
1473,Connect,39,20,612
1474,Role,28, ROLE_AMBASSADOR,613
1475,Connect,39,28,613
1476,Role,33, ROLE_AMBASSADOR,614
1477,Connect,39,33,614
1478,Connect,39,34,615
1479,Role,50, ROLE_AMBASSADOR,616
1480,Connect,39,50,616
1481,Connect,39,55,617
1482,Role,60, ROLE_AMBASSADOR,618
1483,Connect,39,60,618
1484,Role,80, ROLE_AMBASSADOR,619
1485,Connect,39,80,619
1486,Role,86, ROLE_AMBASSADOR,620
1487,Connect,39,86,620
1488,Connect,39,98,621
